"Category Name","Course Name","First Instructor Name","Course Description","# of Students Enrolled","# of Ratings"
business,"Storytelling and influencing: Communicate with impact","Associate Professor Lawrence Ang","An ambitious vision for the future of your organisation isn’t enough – how do you communicate this vision to get your colleagues on board? The ability to effectively communicate and persuade others is a key leadership skill. Traditional and common-sense models of communication and persuasion often fail to capture the complex nature of ‘influencing’. Via structured learning activities (video lectures, quizzes, discussion prompts and written assessments) this course will develop your capacity to communicate appropriately in different situational and cultural contexts, making you a highly influential leader.The Specialization applies influencing methods in two areas of great importance: change management and risk governance. Successful change management eludes many individuals and organizations, so we propose a new approach to enable you to inspire and lead transformations (Manage Change). Similarly, in the post-financial crisis environment, many organizations acknowledge the need for effective risk governance but few, if any, have achieved it. We present evidence-based methods that will help your organization achieve its objectives (Engage the Board).",59030,1363
business,"Good with Words: Speaking and Presenting Specialization","Take Courses","Poise is not some elusive or innate characteristic. It’s a series of choices, all of which can help you better connect with your intended audience. This course will help you identify those choices and teach you how to   make them in a way that consistently enhances the clarity of your message and the effectiveness of your delivery.",4602,
business,"Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator","Barry Nalebuff","This course will help you be a better negotiator. Unlike many negotiation courses, we develop a framework for analyzing and shaping negotiations. This framework will allow you to make principled arguments that persuade others. It will allow you to see beneath the surface of apparent conflicts to uncover the underlying interests. You will leave the course better able to predict, interpret, and shape the behavior of those you face in competitive situations.In this course, you will have several opportunities to negotiate with other students using case studies based on common situations in business and in life. You can get feedback on your performance and compare what you did to how others approached the same scenario. The cases also provide a setting to discuss a wide-ranging set of topics including preparing for a negotiation, making ultimatums, avoiding regret, expanding the pie, and dealing with someone who has a very different perspective on the world. Advanced topics include negotiating when you have no power, negotiating over email, and the role of gender differences in negotiation. To close out the course, we will hear insights from three negotiation experts: Linda Babcock, Herb Cohen, and John McCall MacBain. Enjoy.",460952,4378
business,"Improve Your English Communication Skills Specialization","Take Courses","No prior experience required.By the end of this course, you will be able to 
•	Improve your overall written English skills
•	See differences and similarities among the different email formats 
•	Write more effective subject lines and email text
•	Apply various key language to different types of emails
•	Correct common errors such as punctuation and capitalization
•	Study tone and level of formality in emails 
•	Understand how culture affects what is appropriate in a business emails 
•	Write powerful business emails for professional needs",544660,
business,"Communication Strategies for a Virtual Age","Ivan Wanis Ruiz","Communication has changed! The traditional rules for speaking and presenting, meeting coordination, influencing people, negotiating and selling ideas no longer apply in a world of skype, messenger, video and teleconference.  This course will act as an overview on several concepts each of which could be a course of their own and our goal is to give you tools that you can practice and perfect on your own.By the end of this course, you will be able to:

•	Apply communication principles and techniques for in-person and virtual teams
•       Use a science based approach to create impactful presentations
•	Refine your communication style to better persuade and influence others
•	Run more effective and impactful meetings
•       Incorporate strategies to have positive difficult conversations and make people feel valued and listened to

*** This course will require you to record yourself speaking.  Therefore you must have a phone/computer with a functional camera and microphone.***

WHO SHOULD TAKE THIS COURSE?
Anyone looking for professional and/or leadership development.  This class mainly uses examples from the professional, business environment.  If you are looking to advance at your current organization or to enhancing your personal value for potential employers this course is for you.

WHAT MAKES THIS COURSE EFFECTIVE?
Many educational experiences describe and explain, but in this course we will apply and demonstrate.  We teach practical and proven concepts, show you how to apply them and give you opportunities to practice them in a safe and supportive environment. This course is full of opportunities to put the ideas presented into practice and test their effectiveness for yourself.

WHY SHOULD YOU TAKE THIS COURSE?
We will challenge the preconceived ideas about what it means to be part of a virtual team, and support you to be a dynamic team contributor no matter where you work. In this course you can expect to be both energized and uncomfortable – like in most experiences that result in positive growth and change!

This course is offered through the University of Toronto School of Continuing Studies (https://learn.utoronto.ca/).",166781,3920
business," Storytelling in Branding and Content Marketing ","Pedro Cifuentes Huertas","Storytelling in Branding and Content Marketing is an IE University course for professionals who want to learn how to produce memorable content through quality storytelling.Students will go through a learning process that will start with a deep understanding of the term Branded Content and its main differences with traditional advertising, simultaneously creating an effective storyline based on strong brand values and messages. The course analyses the production of quality journalism and explores how to create memorable and long-lasting connections with a given target audience in a world of constant content surplus. It concludes with a deeper insight into the term of Brand Entertainment, giving them the opportunity to amplify their knowledge about how to produce a good call to action and retain the audience's attention.",21497,218
business,"Emotional and Social Intelligence","Laurie Cozart","""We are wired to connect. Neuroscience has discovered that our brains very design makes it sociable, inexorably drawn into an intimate brain to brain linkup whenever we engage with another person.""  Daniel Goleman – Prologue – Social IntelligenceEmotional and Social Intelligence (ESI) is defined as a set of competencies demonstrating the ability one has to recognize their behaviors, moods, and impulses, and to manage them best according to the situation. This course will give you the tools you need to be emotionally and socially intelligent in your workplace.
 
Having the ability to master ESI gives employees a distinct advantage in their positions. It allows them to access their emotional center while managing their relationships with their team members. Competencies associated with emotional and social intelligence are often what separates an average performer from a great one. And, unlike our overall intelligence, emotional intelligence can be learned and improved over time. 

In this course, we will explain the value of emotional and social intelligence for professional success. We'll assess current emotional and social intelligence skills and you will discover the Foundational 4 Quadrants of Emotional and Social Intelligence (ESI) to understand, use and manage emotions. We will explain how stress can impact application of emotional and social intelligence skills, and reflect upon needed actions to take to create connections and build relationships for greater professional effectiveness.",23950,653
business,"Project Management & Other Tools for Career Development Specialization","Take Courses","No prior experience required.Successful projects require careful upfront planning. In this course, you’ll learn the key roles and responsibilities of the project manager and project team. You’ll also learn to answer some key questions upfront to help you meet project objectives: What will this project accomplish? Why is this project important? Who benefits from this project? How will we plan for successful outcomes?

Upon completing this course, you will be able to:
1.       Identify the key characteristics of a project
2.       Identify primary project constraints
3.       Define the role and responsibilities of the project manager
4.       Identify Project Organizational Structures
5.       Understand the definition of a Project Stakeholder
6.       Identify project stakeholders
7.       Identify information needs of the project stakeholders
8.       Define responsibility for managing stakeholder and controlling stakeholder engagement
9.       Define the purpose of using a project charter
10.     Summarize the key elements of a project plan
11.     Identify common sources of conflict within a project environment
12.     Describe the difference between authority and influence",82006,
business,"Good with Words: Writing and Editing Specialization","Take Courses","This course will teach you how to use your written words to become more persuasive. You’ll learn creative ways to use syntax, effective techniques for telling stories, and a clever method for arranging a complex series of information. You’ll also get a chance to both professionalize your use of punctuation and add a bit of style and sophistication to how you craft everything from sentences to slogans.  In addition, you’ll get access to a wide range of books and other resources you can use even after you finish the course. These include (1) the readings and exercises provided to the students who have taken the in-person version of this course at the University of Michigan and the University of Chicago; (2) two digital libraries of excellent writing from a diverse collection of journalists, scientists, novelists, poets, historians, and entrepreneurs; and (3) a monthly “Good Sentences” email. Social media has only accelerated the ways in which we all must learn to use our writing to connect, compete, and create—sometimes all at once. So join us for this first course in a four-part series and experience the many benefits, both personal and professional, of becoming “good with words.”",46272,
business,"Professional Skills for the Workplace Specialization","Take Courses","""We are wired to connect. Neuroscience has discovered that our brains very design makes it sociable, inexorably drawn into an intimate brain to brain linkup whenever we engage with another person.""  Daniel Goleman – Prologue – Social IntelligenceEmotional and Social Intelligence (ESI) is defined as a set of competencies demonstrating the ability one has to recognize their behaviors, moods, and impulses, and to manage them best according to the situation. This course will give you the tools you need to be emotionally and socially intelligent in your workplace.
 
Having the ability to master ESI gives employees a distinct advantage in their positions. It allows them to access their emotional center while managing their relationships with their team members. Competencies associated with emotional and social intelligence are often what separates an average performer from a great one. And, unlike our overall intelligence, emotional intelligence can be learned and improved over time. 

In this course, we will explain the value of emotional and social intelligence for professional success. We'll assess current emotional and social intelligence skills and you will discover the Foundational 4 Quadrants of Emotional and Social Intelligence (ESI) to understand, use and manage emotions. We will explain how stress can impact application of emotional and social intelligence skills, and reflect upon needed actions to take to create connections and build relationships for greater professional effectiveness.",9270,
business,"High-Impact Business Writing","Sue Robins, M.S. Ed.","Effective writing is a powerful tool in the business environment. Learn how to articulate your thoughts in a clear and concise manner that will allow your ideas to be better understood by your readers. Improve your business writing skill by learning to select and use appropriate formats for your audience, use the correct medium and adjust your writing style accordingly, as well as identify your objective and communicate it clearly. You'll also learn to spot, correct and avoid the most common writing pitfalls, and gain valuable experience analyzing, writing and revising a wide spectrum of business documents. From a simple email to a complete report, learn how to put good business writing to work for you.Upon completing this course, you will be able to:
1.       Write effective business communications, including bad news, good news, persuasive writing, presentations, emails, memos, business reports and press releases
2.       Learn how to edit and proofread business documents
3.       Learn how to write for a global market",178543,3516
business,"Leadership and Influence","C. K. Gunsalus","The only thing you get to change is yourself, and in the prerequisites to this course we’ve given you real tools to do that. Now, use those tools to influence the course of your future, your team's future, and your organization's future. Make a plan for yourself that will help you help others, and learn skills to make it happen.Listening and being sure of your values underpins everything that comes with professional influencer and leadership soft skills. We’ll go on to look at self-assessment and leadership planning, negotiation, addressing and resolving conflict, and successfully identifying and promoting circumstances you want.

 After this course, you will be able to:

- state your own mission and plan with confidence
- negotiate and persuade
- deal with difficult people
- contribute to crafting a working environment you want to work in

The prerequisites for this course are Courses One and Two of the Specialization ""Professional IQ: Preventing and Solving Problems at Work"".",9309,46
business,"English for Career Development","Learner Career Outcomes","Welcome to English for Career Development, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. To enroll in this course for free, click on “Enroll now” and then select ""Full Course.  No certificate.""

This course is designed for non-native English speakers who are interested in advancing their careers in the global marketplace.  In this course, you will learn about the job search, application, and interview process in the United States, while comparing and contrasting the same process in your home country. This course will also give you the opportunity to explore your global career path, while building your vocabulary and improving your language skills to achieve your professional goals. The first unit in this course will introduce the U.S. job application process and provide strategies for identifying the jobs that match your interests and skills. Unit 2 will take you through the steps necessary to produce a professional-looking resume. In unit 3, you will work to develop a clear and concise cover letter. The final unit of the course focuses on networking and interview skills.

Anyone may take this course for free. If you want to get a Coursera Verified Certificate for free, please fill out the Financial Aid form.

 Unless otherwise noted, all course materials are available for re-use, repurposing and free distribution under a Creative Commons 4.0 Attribution license.

Supplemental reading materials were provided by Newsela, which publishes daily news articles at a level that's just right for each English language learner.",1867718,12818
business,"Improve Your English Communication Skills Specialization","Take Courses","No prior experience required.By the end of this course, you will be able to 
•	Improve your overall written English skills
•	See differences and similarities among the different email formats 
•	Write more effective subject lines and email text
•	Apply various key language to different types of emails
•	Correct common errors such as punctuation and capitalization
•	Study tone and level of formality in emails 
•	Understand how culture affects what is appropriate in a business emails 
•	Write powerful business emails for professional needs",544660,
business,"Financial Markets","Learner Career Outcomes","An overview of the ideas, methods, and institutions that permit human society to manage risks and foster enterprise.  Emphasis on financially-savvy leadership skills. Description of practices today and analysis of prospects for the future. Introduction to risk management and behavioral finance principles to understand the real-world functioning of securities, insurance, and banking industries.  The ultimate goal of this course is using such industries effectively and towards a better society.",1349045,22965
business,"Successful Negotiation: Essential Strategies and Skills","Learner Career Outcomes","We all negotiate on a daily basis. On a personal level, we negotiate with friends, family, landlords, car sellers and employers, among others. Negotiation is also the key to business success. No business can survive without profitable contracts. Within a company, negotiation skills can lead to your career advancement. I hope that you will join the hundreds of thousands of learners who have made “Successful Negotiation” one of the most popular and highly-rated MOOCs worldwide.  In the course, you’ll learn about and practice the four steps to a successful negotiation: 

   (1) Prepare: Plan Your Negotiation Strategy 

   (2) Negotiate: Use Key Tactics for Success 

   (3) Close: Create a Contract 

   (4) Perform and Evaluate: The End Game 

To successfully complete this course and improve your ability to negotiate, you’ll need to do the following: 

(1) Watch the short videos (ranging from 5 to 20 minutes). The videos are interactive and they include questions to test your understanding of negotiation strategy and skills. You can speed up or slow down videos to match your preferred pace for listening. Depending on your schedule, you can watch the videos over a few weeks or you can binge watch them. A learner who binge-watched the course concluded that “It’s as good as Breaking Bad.” Another learner compared the course to “House of Cards.”  Both shows contain interesting examples of complex negotiations!

(2) Test your negotiation skills by completing the negotiation in Module 6. You can negotiate with a local friend or use Discussions to find a partner from another part of the world. Your negotiation partner will give you feedback on your negotiation skills. To assist you with your negotiations, I have developed several free negotiating planning tools that are related to the course.  These tools and a free app are available at http://negotiationplanner.com/ 

(3) Take the final exam. To successfully complete the course, you must answer 80% of the questions correctly. The exam is a Mastery Exam, which means that you can take it as many times as you want until you master the material. 

Course Certificate
You have the option of earning a Course Certificate.  A Certificate provides formal recognition of your achievements in the course and includes the University of Michigan logo.   Learn more about Certificates at: https://learner.coursera.help/hc/en-us/articles/209819053-Get-a-Course-Certificate
 
This course is also available in Spanish and Portuguese. To join the fully translated Spanish version, visit this page: https://www.coursera.org/learn/negociacion/ 

To join the fully translated Portuguese version, visit this page: https://www.coursera.org/learn/negociacao
Subtitles for the videos are available in English, Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Spanish


Created by:  University of Michigan

The course logo composite is shared with a Creative Commons CC BY-SA (https://creativecommons.org/licenses/by-sa/2.0/) license, and was created using images provided courtesy of Flazingo Photos (http://bit.ly/1zOylRm) and K2 Space (https://www.flickr.com/photos/k2space/14257556613/in/set-72157644732478432).",1283692,17056
business,"Career Success Specialization","Take Courses","No prior experience required.Upon completing this course, you will be able to:
1.       Learn about the role of high performance teams and leadership in project management
2.       Learn about the tools and techniques for developing and strengthening high performance teams and team members
3.       Learn about the stages in project cycle
4.       Apply best practices to develop competencies and skills in planning and controlling projects to ensure successful outcomes
5.       Learn how to monitor project activities and assess progress
6.       Learn to communicate proficiently to report project status and performance to stakeholders and contribute to organizational knowledge base",176316,
business,"Google Project Management: Professional Certificate","What you will learn","This course is the first in a series of six to equip you with the skills you need to apply to introductory-level roles in project management. Project managers play a key role in leading, planning and implementing critical projects to help their organizations succeed. In this course, you’ll discover foundational project management terminology and gain a deeper understanding of  the role and responsibilities of a project manager. We’ll also introduce you to the kinds of jobs you might pursue after completing this program. Throughout the program, you’ll learn from current Google project managers, who can provide you with a multi-dimensional educational experience that will help you build your skills  for on-the-job application. Learners who complete this program should be equipped to apply for introductory-level jobs as project managers. No previous experience is necessary.

By the end of this course, you will be able to:
- Define project management and describe what constitutes a project.
- Explore project management roles and responsibilities across a variety of industries.
- Detail the core skills that help a project manager be successful.
- Describe the life cycle of a project and explain the significance of each phase.
- Compare different program management methodologies and approaches and determine which is most effective for a given project.
- Define organizational structure and culture and explain how it impacts project management. 
- Define change management and describe the role of the project manager in the process.",,
business,"IBM Data Analyst Professional Certificate","Build the Skills to Get Job Ready","This course presents a gentle introduction into the concepts of data analysis, the role of a Data Analyst, and the tools that are used to perform daily functions. You will gain an understanding of the data ecosystem and the fundamentals of data analysis, such as data gathering or data mining.  You will then learn the soft skills that are required to effectively communicate your data to stakeholders, and how mastering these skills can give you the option to become a data driven decision maker.This course will help you to differentiate between the roles of a Data Analyst, Data Scientist, and Data Engineer. You will learn the responsibilities of a Data Analyst and exactly what data analysis entails. You will be able to summarize the data ecosystem, such as databases and data warehouses. You will then uncover the major vendors within the data ecosystem and explore the various tools on-premise and in the cloud. Continue this exciting journey and discover Big Data platforms such as Hadoop, Hive, and Spark. By the end of this course you will be able to visualize the daily life of a Data Analyst, understand the different career paths that are available for data analytics, and identify the many resources available for mastering this profession.

     Throughout this course you will learn the key aspects to data analysis. You will begin to explore the fundamentals of gathering data, and learning how to identify your data sources. You will then learn how to clean, analyze, and share your data with the use of visualizations and dashboard tools. This all comes together in the final project where it will test your knowledge of the course material, explore what it means to be a Data Analyst, and provide a real-world scenario of data analysis. 

     This course does not require any prior data analysis, spreadsheet, or computer science experience. All you need to get started is basic computer literacy, high school level math, and access to a modern web browser such as Chrome or Firefox.",86572,
business,"Key Technologies for Business Specialization","Take Courses","This course introduces you to the core concepts of cloud computing. You gain the foundational knowledge required for understanding cloud computing from a business perspective as also for becoming a cloud practitioner. You understand the definition and essential characteristics of cloud computing, its history, the business case for cloud computing, and emerging technology usecases enabled by cloud. We introduce you to some of the prominent service providers of our times (e.g. AWS, Google, IBM, Microsoft, etc.) the services they offer, and look at some case studies of cloud computing across industry verticals. You learn about the various cloud service models (IaaS, PaaS, SaaS) and deployment models (Public, Private, Hybrid) and the key components of a cloud infrastructure (VMs, Networking, Storage - File, Block, Object, CDN). We also cover emergent cloud trends and practices including - Hybrid Multicloud, Microservices, Serverless, DevOps, Cloud Native and Application Modernization. And we go over the basics of cloud security, monitoring, and different job roles in the cloud industry. 

Even though this course does not require any prior cloud computing or programming experience, by the end of the course, you will have created your own account on IBM Cloud and gained some hands-on experience by provisioning a cloud service and working with it.

This course is suitable for a large variety of audiences - whether you are an executive / manager / student who wants to become familiar with cloud computing terminology and concepts, or someone who wants foundational  grounding in cloud computing to start a career in this field or become a cloud practitioner - such as a cloud engineer, developer, analyst, etc.

The completion of this course also makes you eligible to earn the Cloud Computing Core IBM digital badge.  More information about the badge can be found here: https://www.youracclaim.com/org/ibm/badge/introduction-to-cloud-computing",13048,
business,"Foundations of Project Management","Google Career Certificates","This course is the first in a series of six to equip you with the skills you need to apply to introductory-level roles in project management. Project managers play a key role in leading, planning and implementing critical projects to help their organizations succeed. In this course, you’ll discover foundational project management terminology and gain a deeper understanding of  the role and responsibilities of a project manager. We’ll also introduce you to the kinds of jobs you might pursue after completing this program. Throughout the program, you’ll learn from current Google project managers, who can provide you with a multi-dimensional educational experience that will help you build your skills  for on-the-job application. Learners who complete this program should be equipped to apply for introductory-level jobs as project managers. No previous experience is necessary.

By the end of this course, you will be able to:
- Define project management and describe what constitutes a project.
- Explore project management roles and responsibilities across a variety of industries.
- Detail the core skills that help a project manager be successful.
- Describe the life cycle of a project and explain the significance of each phase.
- Compare different program management methodologies and approaches and determine which is most effective for a given project.
- Define organizational structure and culture and explain how it impacts project management. 
- Define change management and describe the role of the project manager in the process.",877950,45421
business,"Excel Skills for Business Specialization","Take Courses","In this first course of the specialization Excel Skills for Business, you will learn the essentials of Microsoft Excel. Within six weeks, you will be able to expertly navigate the Excel user interface, perform basic calculations with formulas and functions, professionally format spreadsheets, and create visualizations of data through charts and graphs.Whether you are self-taught and want to fill in the gaps for better efficiency and productivity, or whether you have never used Excel before, this course will set you up with a solid foundation to become a confident user and develop more advanced skills in later courses. 

The best way to learn Excel is to use Excel. In this course, learners will solve a broad range of business problems as they apply the Excel skills and techniques they learn along the way. This course uses downloadable Excel workbooks and full data sets with applied examples and practical challenge exercises. This provides learners with countless opportunities to practice their Excel skills while discovering new and useful productivity features of Excel for a variety of business contexts.

Spreadsheet software is one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. At a time when digital skills jobs are growing much faster than non-digital jobs, make sure to position yourself ahead of the rest by adding Excel skills to your employment portfolio.",427152,
